stock_name,price_nse,price_bse,eps,dividend_yield,face_value,dividend,p_to_e,industry_p_to_e,book_value,p_to_b,avg_dividend,2019 Net,2018 Net,2017 Net,2016 Net,2015 Net,2019 EPS,2018 EPS,2017 EPS,2016 EPS,2015 EPS,2019 ESC,2018 ESC,2017 ESC,2016 ESC,2015 ESC,2019 Profit,2018 Profit,2017 Profit,2016 Profit,2015 Profit
Master Trust Ltd.,12.45,,1.56,4.02,5.00,10.00,7.98,23.33,35.88,0.35,4.0,8.29,18.6,4.55,10.56,16.72,1.7,1.7,0.5,0.1,3.4,10.92,10.92,10.92,10.92,10.92,1.86,1.82,0.59,0.05,3.66
BNK Capital Markets Ltd.,44.10,,8.68,4.54,10.00,20.00,5.08,23.33,82.62,0.53,13.0,6.01,10.63,3.67,2.47,3.81,13.58,2.89,9.29,6.14,3.6,10.0,10.0,10.0,10.0,10.0,13.58,2.89,9.29,6.14,3.6
Sakthi Finance Ltd.,12.90,,1.7,7.75,10.00,10.00,7.59,23.33,28.93,0.45,10.0,165.21,165.98,167.81,168.03,146.79,2.06,2.12,3.1,2.25,2.93,50.0,50.0,50.0,50.0,50.0,11.96,11.93,16.76,12.53,15.85
KIFS Financial Services Ltd.,46.55,,3.71,2.15,10.00,10.00,12.55,23.33,26.55,1.75,8.1,5.89,6.05,8.48,7.14,3.81,2.61,2.77,3.1,2.61,1.74,10.82,10.82,10.82,10.82,10.82,2.82,3.0,3.35,2.83,1.88
Sangam Renewables Ltd.,10.36,,-,-,10.00,0.00,-,24.85,10.30,1.01,0.0,5.03,1.56,0.26,0.48,0.32,0.37,0.11,-0.03,0.09,0.08,10.01,10.01,10.01,10.01,10.01,0.31,0.12,-0.03,0.09,0.08
Sonal Mercantile Ltd.,16.40,,1.28,-,10.00,0.00,12.81,23.33,15.54,1.06,0.0,4.13,2.79,2.58,2.32,2.33,0.47,0.01,0.05,0.04,0.01,14.74,14.74,14.74,14.74,14.74,0.7,0.14,0.07,0.06,0.02
Ashika Credit Capital Ltd.,16.85,,1.69,-,10.00,0.00,9.97,23.33,42.07,0.40,2.0,17.77,10.9,1.83,2.09,2.02,6.78,3.94,2.69,-8.55,1.33,11.34,10.8,6.99,7.0,7.0,7.56,2.78,1.88,-5.98,0.93
Shalibhadra Finance Ltd.,48.15,,12.83,2.49,10.00,12.00,3.75,23.33,72.91,0.66,10.8,22.22,19.4,15.64,13.01,12.5,12.79,11.33,8.6,6.91,7.58,5.0,5.0,5.0,5.0,5.0,6.4,5.67,4.3,3.46,3.79
Mangalam Industrial Finance Ltd.,0.23,,0.01,-,1.00,0.00,23,23.33,1.00,0.23,0.0,3.78,7.01,8.02,2.07,0.2,0.0,0.0,0.0,0.02,0.01,96.16,96.16,96.16,96.16,96.16,0.03,0.29,0.32,0.24,0.06
Greencrest Financial Services Ltd.,0.50,,0.02,-,1.00,0.00,25,23.33,1.37,0.36,0.0,54.65,32.53,10.21,15.73,10.3,0.02,0.01,0.01,0.02,0.32,36.55,36.55,36.55,36.55,36.55,0.73,0.53,0.6,0.71,1.16
TCFC Finance Ltd.,17.90,,3.67,8.38,10.00,15.00,4.88,23.33,80.19,0.22,12.0,155.99,69.54,86.7,196.43,118.52,3.68,3.7,-6.77,3.27,5.22,10.48,10.48,10.48,10.48,10.48,3.86,3.88,-7.09,3.43,5.47
Upsurge Investment and Finance Ltd.,11.53,,0.61,-,10.00,0.00,18.9,23.33,15.92,0.72,1.0,24.7,39.31,13.23,14.29,28.24,0.21,2.01,0.34,0.13,0.08,15.15,15.15,15.15,15.15,15.15,0.32,3.04,0.51,0.19,0.13
Saraswati Commercial (India) Ltd.,156.45,,-,-,10.00,0.00,-,23.33,1357.07,0.12,0.0,9.13,0.82,6.44,9.24,9.21,66.6,165.6,81.63,216.14,105.61,1.0,1.0,0.64,0.64,0.64,6.67,15.97,5.22,13.83,6.76
Capital Trade Links Ltd.,3.10,,0.23,-,1.00,0.00,13.48,23.33,3.28,0.95,3.5,4.29,3.84,9.23,18.28,1.84,0.25,0.18,0.15,0.07,0.04,5.1,5.1,5.1,5.1,5.0,1.29,0.94,0.77,0.37,0.21
Wall Street Finance Ltd.,14.12,,0.92,10.62,10.00,15.00,15.35,23.33,33.82,0.42,11.5,23.88,34.5,43.93,48.04,43.16,0.1,23.12,0.4,1.19,1.31,11.6,11.6,11.6,11.6,11.6,0.12,26.81,0.46,1.38,1.52
McDowell Holdings Ltd.,12.73,12.70,-,-,10.00,0.00,-,23.33,8.75,1.45,0.0,1.49,1.01,0.93,10.66,14.09,-4.76,-1.15,-6.4,-148.25,-8.56,13.99,13.99,13.99,13.99,13.99,3.01,-1.61,-21.14,-21.39,5.46
Pro Fin Capital Services Ltd.,20.05,,3.72,0.50,10.00,1.00,5.39,23.33,38.62,0.52,0.2,61.69,31.29,26.49,6.09,1.46,1.77,2.28,0.34,0.04,0.45,7.07,7.07,7.07,7.07,5.47,2.16,1.61,0.66,0.39,0.24
Meenakshi Enterprises Ltd.,6.70,,-,-,10.00,0.00,-,23.33,9.86,0.68,0.0,3.65,3.42,2.77,2.07,4.44,-0.17,0.02,0.13,-0.55,-0.02,12.4,12.4,12.4,12.4,12.4,-0.22,0.03,0.16,-0.68,-0.02
BCL Enterprises Ltd.,14.29,,0.26,-,10.00,0.00,54.96,23.33,10.74,1.33,0.0,0.91,6.18,1.68,2.54,0.5,0.41,0.4,-0.2,-0.19,0.28,5.83,5.83,5.83,5.83,5.83,0.24,0.24,-0.12,-0.11,0.09
Nalin Lease Finance Ltd.,23.75,,2.03,-,10.00,0.00,11.7,23.33,23.52,1.01,0.0,3.8,3.53,2.56,2.31,2.95,3.9,3.11,2.84,2.18,0.0,3.26,3.26,3.26,3.26,3.26,1.27,1.01,0.93,0.71,1.15
Sulabh Engineers & Services Ltd.,0.73,,0.05,-,1.00,0.00,14.6,23.33,2.33,0.31,0.0,0.55,0.87,0.92,1.01,1.08,0.03,0.05,0.04,0.05,0.05,10.05,10.05,10.05,10.05,10.05,0.34,0.46,0.4,0.5,0.51
Anupam Finserv Ltd.,10.39,,0.74,-,10.00,0.00,14.04,23.33,10.12,1.03,0.0,2.85,2.43,0.5,0.5,0.79,0.64,0.8,0.27,0.12,-0.68,10.51,10.51,5.51,5.51,5.51,0.67,0.45,0.15,0.07,-0.37
Jaykay Enterprises Ltd.,2.59,,-,-,1.00,0.00,-,23.33,15.16,0.17,0.0,0.31,0.3,0.3,0.3,0.33,-1.89,1.02,0.35,0.3,0.23,3.71,3.71,3.71,3.71,3.71,0.69,1.25,1.29,1.11,0.86
Morarka Finance Ltd.,17.70,,5.94,-,10.00,0.00,2.98,23.33,25.51,0.69,2.0,0.96,2.75,0.72,0.34,0.21,1.04,5.2,0.4,0.02,-0.08,4.5,4.5,4.5,4.5,4.5,0.53,2.34,0.18,0.01,-0.04
Tokyo Finance Ltd.,10.00,,1.22,-,10.00,0.00,8.2,23.33,18.36,0.54,0.0,1.61,1.54,1.62,1.61,2.17,1.66,-0.01,-0.92,0.37,0.81,6.94,6.94,6.94,6.94,6.94,1.15,-0.01,-0.64,0.26,0.56
NPR Finance Ltd.,12.35,,3.15,-,10.00,0.00,3.92,23.33,73.54,0.17,0.0,36.61,35.72,41.09,44.01,47.76,4.38,2.5,4.91,0.69,3.81,5.99,5.99,5.99,6.0,6.0,2.62,1.49,2.94,0.41,2.28
Escorts Finance Ltd.,1.63,,0.09,-,10.00,0.00,18.11,23.33,-44.33,-,0.0,0.05,0.16,0.3,0.76,0.43,0.02,-0.24,-0.01,0.09,-0.02,40.17,40.17,40.17,40.17,40.17,0.07,-0.97,-0.06,0.36,-0.09
Ind Cement Cap Ltd.,2.68,,0.17,-,10.00,0.00,15.76,23.33,7.09,0.38,0.0,4.13,4.77,4.33,3.9,4.04,0.1,0.33,0.22,0.09,0.12,21.71,21.71,21.71,21.71,21.71,0.2,0.72,0.47,0.19,0.26
Gowra Leasing & Finance Ltd.,14.50,,2.0,6.90,10.00,10.00,7.25,23.33,41.96,0.35,10.0,1.17,1.01,1.27,1.29,1.34,1.85,2.66,3.04,1.91,0.89,3.0,3.0,3.0,3.0,3.0,0.55,0.8,0.91,0.57,0.27
Transwarranty Finance Ltd.,2.53,2.10,-,-,10.00,0.00,-,23.33,13.49,0.19,0.0,10.81,9.52,11.86,10.01,8.03,0.05,0.03,0.3,0.06,0.04,24.46,24.46,24.46,24.46,24.46,0.13,0.08,0.74,0.14,0.11
Innovassynth Investments Ltd.,2.88,,-,-,10.00,0.00,-,23.33,8.45,0.34,0.0,0.0,0.0,0.0,0.0,0.0,-0.74,-0.16,-0.14,-0.13,-0.1,24.28,24.28,24.28,24.28,24.28,-0.54,-0.38,-0.34,-0.32,-0.23
Mega Corporation Ltd.,0.31,,0.03,-,1.00,0.00,10.33,23.33,2.43,0.13,0.0,2.18,2.25,1.43,1.01,1.32,0.01,-0.29,0.07,0.01,0.01,10.0,10.0,10.0,10.0,10.0,0.09,-2.88,0.71,0.14,0.05
Goenka Business & Finance Ltd.,2.00,,6.72,-,10.00,0.00,0.3,23.33,22.61,0.09,0.0,5.32,6.73,1.92,2.29,3.23,-0.68,-0.52,0.01,0.04,0.4,13.0,13.0,13.0,13.0,13.0,-0.88,-0.67,0.08,0.06,0.52
Integrated Capital Services Ltd.,1.20,,-,-,1.00,0.00,-,23.33,2.64,0.45,0.0,0.87,1.89,2.05,1.79,2.13,-0.2,0.14,0.23,0.12,0.16,3.56,3.62,3.62,3.62,3.62,-0.72,0.52,0.83,0.43,0.57
Cox & Kings Financial Service Ltd.,0.30,0.30,-,-,10.00,0.00,-,23.33,12.29,0.02,0.0,101.86,94.78,0.0,0.0,0.46,1.86,-0.2,0.0,72.85,14.0,10.4,0.0,3.34,13.61,-0.21,0.0
Lead Financial Services Ltd.,6.05,,-,-,10.00,0.00,-,23.33,16.72,0.36,0.0,0.06,1.16,4.08,0.92,0.69,-0.14,1.88,1.3,0.14,0.6,3.3,3.3,3.3,3.3,3.3,-0.05,0.62,0.43,0.05,0.2
NCL Research and Financial Services Ltd.,0.19,,0.01,-,2.00,0.00,19,23.33,4.25,0.04,0.0,3.37,2.78,7.35,4.67,3.22,0.01,0.0,0.0,0.01,0.04,29.09,29.09,29.09,29.09,29.09,0.11,0.07,-0.07,0.18,0.55
ICICI Securities Ltd.,279.30,281.10,15.65,3.37,5.00,188.00,17.96,23.33,32.11,8.70,118.658,1704.2,1856.8,1403.9,1122.48,1209.09,15.12,17.18,10.48,7.32,7.57,161.07,161.07,161.07,161.07,161.07,486.92,553.36,337.61,235.74,243.96
ARC Finance Ltd.,0.36,,0.34,-,10.00,0.00,1.06,23.33,10.00,0.04,0.0,6.1,6.0,7.78,3.48,4.74,-0.12,0.03,0.05,0.05,0.05,50.5,50.5,50.5,50.5,50.5,-0.59,0.15,0.16,0.29,0.27
Global Capital Markets Ltd.,0.53,,-,-,10.00,0.00,-,23.33,15.53,0.03,0.0,7.72,9.9,3.86,8.33,1.85,-0.43,-0.29,-0.11,-0.08,0.05,24.89,24.89,24.89,24.89,24.89,-1.06,-0.72,-0.28,-0.2,0.11
FGP Ltd.,1.60,,0.26,-,10.00,0.00,6.15,21.93,3.54,0.45,0.0,0.42,0.13,0.14,0.16,0.21,0.35,-0.31,-0.68,-0.51,-0.28,11.9,11.9,11.9,11.9,11.9,0.42,-0.37,-0.81,-0.61,-0.34
Ramchandra Leasing & Finance Ltd.,0.21,,0.01,-,1.00,0.00,21,23.33,1.06,0.20,0.0,0.53,0.34,0.32,0.4,0.22,0.01,0.0,0.0,0.61,0.0,5.12,5.12,5.12,5.12,5.12,0.06,0.02,0.05,0.02,0.02
Banas Finance Ltd.,1.06,,-,-,10.00,0.00,-,23.33,28.50,0.04,0.0,5.0,4.2,9.54,8.08,7.46,-2.52,0.02,-0.45,-0.29,-0.17,11.38,11.38,11.38,11.38,11.38,-2.86,0.02,-5.14,-3.3,-1.91
5paisa Capital Ltd.,117.60,113.55,-,-,10.00,0.00,-,23.33,58.20,2.02,0.0,62.64,19.65,7.47,-1.22,11.37,-13.01,-19.86,-9.86,-18.03,11.58,12.74,12.74,17.72,3.05,3.05,-16.57,-25.3,-10.45,-5.5,3.53
Indiabulls Ventures Ltd.,106.20,106.55,3.29,0.94,2.00,50.00,32.39,23.33,94.32,1.13,90.0,311.4,128.63,83.6,76.34,80.89,1.93,1.21,1.6,0.58,4.57,113.49,92.63,64.04,58.57,52.24,105.45,52.12,47.09,16.87,118.26
Thirani Projects Ltd.,0.19,,0.09,-,10.00,0.00,2.11,23.33,10.48,0.02,0.0,2.54,2.67,3.66,1.57,1.37,-0.01,0.16,0.05,0.14,0.14,20.21,20.21,20.21,20.21,20.21,-0.02,0.33,0.11,0.28,0.29
Share India Securities Ltd.,54.00,,-,-,10.00,0.00,-,23.33,30.56,1.77,0.0,165.39,133.17,106.36,0.0,6.98,7.23,4.4,0.0,24.42,24.42,4.62,0.0,17.04,15.51,8.14,0.0
Viji Finance Ltd.,0.25,0.20,0.02,-,1.00,0.00,10,23.33,1.29,0.19,1.6,1.76,2.31,1.61,1.33,1.32,0.04,0.17,0.08,0.46,0.8,8.25,8.25,7.5,7.5,7.5,0.34,1.42,0.61,0.34,0.6
Dolat Investments Ltd.,35.10,35.00,3.64,0.28,1.00,10.00,9.62,23.33,8.56,4.10,2.0,115.63,138.73,82.66,88.8,33.52,2.87,1.77,0.09,0.17,0.19,17.6,17.6,17.6,17.6,17.6,50.58,31.2,1.53,3.02,3.37
Choice International Ltd.,76.35,,0.98,-,10.00,0.00,77.91,23.33,48.49,1.57,4.0,12.77,22.64,19.63,77.86,8.65,0.8,1.25,2.59,1.66,1.43,20.0,20.0,10.0,10.0,10.0,1.61,2.3,2.59,1.66,1.43
Dhanvarsha Finvest Ltd.,61.20,,3.18,0.41,10.00,2.50,19.25,23.33,20.41,3.00,2.5,21.04,7.36,1.34,1.82,0.17,3.66,5.26,0.03,0.11,0.1,13.5,7.76,7.76,7.76,6.31,4.43,4.08,0.02,0.08,0.04
Aditya Birla Money Ltd.,19.10,19.00,2.21,-,1.00,0.00,8.6,23.33,3.81,5.01,0.0,168.05,156.94,117.69,111.56,112.01,1.78,1.7,1.11,0.22,1.28,5.63,5.61,5.54,5.54,5.54,9.99,9.57,6.15,1.2,7.08
Geojit Financial Services Ltd.,18.60,18.55,1.19,5.38,1.00,100.00,15.59,23.33,17.16,1.08,140.0,265.04,304.08,244.35,217.3,272.02,1.23,2.85,1.63,1.53,2.94,23.83,23.79,23.55,23.49,23.14,29.33,67.49,38.32,35.6,67.55
Monarch Networth Capital Ltd.,18.50,,1.26,-,10.00,0.00,14.68,23.33,26.70,0.69,0.0,62.53,73.35,54.1,43.64,48.45,4.34,5.17,2.41,0.16,0.94,31.05,30.31,30.31,30.31,30.31,13.73,16.15,7.31,0.48,2.85
Inventure Growth and Securities Ltd.,11.90,12.00,-,2.10,10.00,2.50,-,23.33,17.48,0.68,0.5,81.45,26.72,19.98,4.14,17.85,-0.67,0.14,0.4,-1.02,0.34,84.0,84.0,84.0,84.0,84.0,-5.59,1.19,3.34,-8.54,2.84
Emkay Global Financial Services Ltd.,25.50,26.90,-,3.92,10.00,10.00,-,23.33,54.73,0.47,10.0,128.48,132.21,93.8,92.33,99.89,2.59,7.32,1.89,4.01,-6.52,24.62,24.53,24.44,24.44,24.44,6.37,17.94,4.62,9.81,-15.94
Prime Securities Ltd.,26.65,26.85,-,-,5.00,0.00,-,23.33,24.51,1.09,0.0,10.38,8.27,4.63,10.41,-8.19,0.86,1.25,-0.59,5.31,-2.5,13.3,13.3,13.3,13.28,13.28,2.29,3.47,-1.56,14.05,-6.62
Toyam Industries Ltd.,2.51,,0.08,-,1.00,0.00,31.37,23.33,0.65,3.86,0.0,2.28,40.14,29.38,8.28,17.12,-0.26,0.01,0.0,-0.05,-0.05,21.25,21.25,21.25,21.25,21.25,-5.85,0.35,0.06,-1.13,-0.11
Arihant Capital Markets Ltd.,30.00,,8.88,2.50,5.00,15.00,3.38,23.33,52.39,0.57,15.0,73.83,91.26,75.4,43.65,46.56,8.08,9.62,7.16,2.88,3.39,10.41,10.41,10.41,10.41,10.41,16.83,20.03,14.91,6.01,7.07
LKP Securities Ltd.,3.44,,1.06,-,2.00,0.00,3.25,23.33,5.15,0.67,1.0,94.5,81.99,63.4,56.37,57.89,0.26,1.09,0.38,-0.55,0.06,14.79,14.64,14.64,5.25,5.25,1.9,7.97,2.33,-1.43,0.16
Inditrade Capital Ltd.,24.80,,0.24,4.03,10.00,10.00,103.33,23.33,38.81,0.64,2.0,0.0,0.0,21.77,15.27,18.6,1.84,1.67,1.27,1.35,3.27,23.35,23.35,23.35,23.29,23.29,4.29,3.88,2.95,3.14,7.54
Nam Securities Ltd.,63.70,,1.34,-,10.00,0.00,47.54,23.33,15.94,4.00,0.0,67.51,57.52,2.06,1.6,0.62,0.75,0.75,0.51,0.0,0.21,3.05,3.05,3.05,3.05,3.05,0.23,0.23,0.15,0.15,0.06
Indbank Merchant Banking Services Ltd.,4.81,4.80,0.5,-,10.00,0.00,9.6,23.33,13.12,0.37,0.0,8.12,11.67,9.2,7.19,8.6,0.39,0.48,1.2,0.62,1.12,44.38,44.38,44.38,44.38,44.38,1.77,2.22,5.31,2.76,4.99
Swastika Investsmart Ltd.,64.30,,2.11,1.56,10.00,10.00,30.47,23.33,83.29,0.77,10.0,28.36,31.56,27.22,21.1,21.75,6.69,11.91,19.07,-0.61,8.18,2.96,2.96,2.96,2.96,2.98,1.98,3.52,5.64,-0.18,2.42
Action Financial Services (India) Ltd.,8.00,,-,-,10.00,0.00,-,23.33,19.76,0.40,0.0,4.03,3.45,3.44,3.23,2.6,0.15,-0.58,-0.14,-0.07,0.02,12.5,12.5,12.5,12.5,12.5,0.19,-0.72,-0.09,0.0,0.22
BLB Ltd.,3.25,3.20,-,-,1.00,0.00,-,23.33,16.22,0.20,0.0,193.74,306.49,117.1,59.53,297.95,-0.77,0.15,0.06,0.14,0.14,5.29,5.29,5.29,5.29,5.29,-4.06,0.92,0.33,0.77,0.75
Comfort Commotrade Ltd.,1.18,,1.99,-,10.00,0.00,0.59,23.33,12.25,0.10,1.2,59.59,90.96,4.37,2.55,1.7,0.08,0.22,0.76,0.32,0.82,10.02,10.02,10.02,10.02,10.02,0.08,0.22,0.76,0.32,0.82
Vertex Securities Ltd.,0.88,,-,-,2.00,0.00,-,23.33,1.84,0.48,0.0,4.92,5.8,5.04,5.24,5.05,0.02,0.1,0.05,-0.08,-0.06,14.8,14.8,14.75,14.75,14.75,0.18,0.77,0.39,-0.61,-0.28
Joindre Capital Ltd.,10.80,,0.8,6.94,10.00,7.50,13.5,23.33,43.57,0.25,7.2,17.91,24.26,18.67,17.02,21.19,3.4,4.3,3.89,1.44,2.71,13.84,13.84,13.84,13.84,13.84,4.7,5.96,5.39,2.0,3.75
CIL Securities Ltd.,9.35,,0.07,5.35,10.00,5.00,133.57,23.33,42.21,0.22,5.0,4.25,6.76,9.31,4.61,5.02,0.43,2.37,9.62,1.23,2.32,5.0,5.0,5.0,5.0,5.0,0.22,1.19,0.47,1.32,1.16
BN Rathi Securities Ltd.,11.75,,2.82,8.51,10.00,10.00,4.17,23.33,35.39,0.33,11.0,20.85,22.19,19.38,14.45,12.31,2.3,4.11,3.8,3.24,5.84,5.04,5.04,5.04,5.04,2.52,1.16,2.07,1.92,1.27,1.47
Modex International Securities Ltd.,3.13,,0.5,6.39,10.00,2.00,6.26,23.33,10.91,0.29,2.8,18.75,20.38,17.65,11.47,6.88,0.91,0.72,1.06,1.98,0.76,6.0,6.0,6.0,3.0,3.0,0.55,0.43,0.64,0.6,0.23
Cholamandalam Investment and Finance Company Ltd.,143.30,142.85,16.45,0.91,2.00,65.00,8.68,23.33,81.82,1.75,53.0,13983.94,5425.33,4659.56,4192.47,3690.46,75.87,62.32,46.01,37.5,30.09,156.42,156.4,156.34,156.21,143.73,15519.54,974.12,718.74,568.45,435.16
Ujjivan Small Finance Bank Ltd.,27.55,27.45,-,-,10.00,0.00,-,25.52,11.04,2.50,0.0,1.2,0.05,0.0,1440.04,1440.04,0.0,199.22,6.86,0.0
Five X Tradecom Ltd.,0.20,,-,-,10.00,0.00,-,23.33,9.35,0.02,0.0,1.17,1.85,8.14,4.96,9.81,-0.03,0.01,0.02,0.24,0.0,20.55,20.55,20.55,20.55,20.55,-0.06,0.03,0.0,0.49,-1.57
REC Ltd.,87.40,86.95,28.9,12.59,10.00,110.00,3.01,3.44,173.69,0.50,115.2,25309.72,22358.27,23350.79,23638.35,20229.53,29.18,23.53,31.63,28.5,53.27,1974.92,1974.92,1974.92,987.46,987.46,5763.72,4647.0,6245.76,5627.66,5259.87
CreditAccess Grameen Ltd.,338.70,338.15,26.46,-,10.00,0.00,12.78,23.33,164.29,2.06,0.0,1281.33,870.58,701.75,456.95,268.16,23.37,20.91,10.01,11.41,9.15,143.55,128.43,85.68,72.95,72.95,321.76,212.48,80.3,83.24,48.73
IFCI Ltd.,3.97,3.95,1.62,-,10.00,0.00,2.44,3.44,27.30,0.15,5.0,2157.23,2701.29,2739.73,3818.59,3251.21,-2.62,-6.07,-2.76,2.03,3.14,1695.99,1695.99,1662.04,1662.04,1661.53,-443.83,-1008.51,-458.49,337.45,521.6
Ujjivan Financial Services Ltd.,148.65,148.85,1.88,0.87,10.00,13.00,79.18,23.33,144.37,1.03,7.2,22.0,0.0,0.0,1007.25,599.32,1.78,0.03,17.75,20.12,11.24,121.17,120.86,119.38,101.19,86.13,21.58,0.42,207.64,177.22,75.79
MAS Financial Services Ltd.,530.00,528.55,33.69,0.96,10.00,51.00,15.69,23.33,166.44,3.18,53.67,572.33,426.19,340.63,287.78,225.68,27.83,20.94,15.86,11.63,8.83,54.66,54.66,90.43,59.47,59.47,152.12,103.37,67.42,50.01,38.82
Gujarat State Finance Corporation Ltd.,1.44,,-,-,10.00,0.00,-,3.44,-260.88,-,0.0,2.43,6.46,3.18,11.67,14.81,-12.89,-12.96,-13.15,-11.78,-10.64,89.11,89.11,89.11,93.72,93.72,-114.87,-115.53,-117.18,-104.99,-94.81
Tourism Finance Corp of India Ltd.,34.25,34.15,11.69,6.42,10.00,22.00,2.92,3.44,91.30,0.38,19.6,229.95,226.76,207.71,184.22,186.16,10.69,9.33,8.73,6.64,7.46,80.72,80.72,80.72,80.72,80.72,86.25,75.31,70.43,53.61,60.18
Satin Creditcare Network Ltd.,66.95,65.45,38.29,-,10.00,0.00,1.71,23.33,218.07,0.31,0.0,1372.76,976.64,757.22,552.27,321.9,40.37,0.26,7.13,20.28,12.17,48.53,47.27,37.14,31.5,25.38,194.94,4.03,24.5,57.94,31.72
Ontic Finserve Ltd.,9.68,,-,-,10.00,0.00,-,23.33,4.78,2.03,0.0,0.87,3.79,0.78,0.97,0.12,0.06,0.04,0.0,0.0,0.0,9.0,9.0,9.0,9.0,4.97,0.05,0.04,0.01,0.01,0.0
Gold Line International Finvest Ltd.,0.25,,-,-,1.00,0.00,-,23.33,1.02,0.25,0.0,0.0,0.53,4.14,3.78,5.9,0.0,0.0,0.01,0.06,0.08,52.1,52.1,52.1,52.1,52.1,0.03,0.04,0.07,0.32,0.4
EBIXCASH WORLD MONEY INDIA Ltd.,373.95,388.40,-,-,10.00,0.00,-,23.33,94.08,3.97,38.0,9160.33,7691.8,5988.13,4779.42,4469.62,-11.98,29.52,19.9,18.91,16.11,11.13,11.56,11.56,11.56,11.56,-13.64,34.14,23.01,21.87,18.63
Max Financial Services Ltd.,379.30,382.40,3.58,-,2.00,0.00,106.82,23.33,74.21,5.11,86.0,316.63,228.74,254.92,200.71,581.78,1.83,4.59,5.76,4.32,14.67,53.88,53.68,53.45,53.4,53.3,49.39,123.04,154.0,115.2,390.94
STEL Holdings Ltd.,38.10,38.80,5.13,-,10.00,0.00,7.56,23.33,358.21,0.11,0.0,9.81,6.92,0.0,0.0,0.0,4.87,3.12,2.59,-2.18,2.04,18.46,18.46,18.46,18.46,18.46,8.99,5.76,4.78,-4.02,3.76
Venkys Ltd.,843.25,841.10,70.64,0.95,10.00,80.00,11.91,6.75,625.73,1.35,64.0,3043.14,2688.81,2475.58,2121.86,1730.81,123.62,141.76,88.55,21.19,19.91,14.09,14.09,14.09,14.09,9.39,174.14,199.71,124.75,29.85,18.7
Simran Farms Ltd.,27.80,,-,-,10.00,0.00,-,6.75,67.23,0.41,0.0,319.92,340.97,410.24,447.2,444.17,10.65,10.38,2.5,1.54,2.04,3.79,3.79,3.79,3.79,3.79,4.04,3.94,0.95,0.59,0.77
Tiaan Ayurvedic & Herbs Ltd.,25.70,,1.75,-,10.00,0.00,14.69,61.93,13.84,1.86,0.0,48.86,10.15,0.53,0.46,0.3,3.37,0.98,0.09,0.01,0.66,5.17,3.1,3.1,3.1,3.1,1.76,0.3,0.24,0.0,0.21
Confidence Finance and Trading Ltd.,0.53,,-,-,10.00,0.00,-,23.33,21.11,0.03,0.0,10.61,2.3,3.32,6.95,2.15,0.0,0.0,0.0,0.0,0.03,10.25,10.25,10.25,10.25,10.25,0.01,0.05,0.02,0.04,0.34
Uniroyal Marine Exports Ltd.,9.12,,0.39,-,10.00,0.00,23.38,55.17,5.94,1.54,0.0,42.61,43.73,44.3,40.82,38.43,0.62,0.38,0.09,0.07,-2.6,6.48,6.48,6.48,6.48,6.48,0.4,0.24,0.06,0.05,-1.69
Bata India Ltd.,1189.80,1189.70,29.38,0.53,5.00,125.00,40.49,47.68,135.89,8.76,69.0,2928.44,2629.27,2467.16,2415.39,2202.68,25.65,17.4,12.35,16.93,26.88,64.26,64.26,64.26,64.26,64.26,329.66,223.58,158.75,217.6,172.73
Mirza International Ltd.,40.30,40.30,3.97,2.23,2.00,45.00,10.15,47.68,50.84,0.79,37.0,1151.7,972.09,935.67,927.17,918.99,4.06,6.52,5.92,7.21,5.52,24.06,24.06,24.06,21.66,18.54,48.79,78.41,71.2,78.09,51.16
Relaxo Footwears Ltd.,585.25,584.35,9.22,0.15,1.00,90.00,63.38,47.68,44.52,13.15,90.0,2292.08,1956.92,1739.84,1713.02,1480.81,14.15,13.4,10.24,10.02,17.17,12.4,12.01,12.01,12.0,6.0,175.44,161.07,122.97,120.28,103.05
Mahanagar Gas Ltd.,810.10,814.90,76.98,2.47,10.00,200.00,10.59,23.90,242.86,3.34,186.0,2791.07,2233.01,2033.97,2078.3,2094.93,55.31,48.38,39.83,34.55,33.69,98.78,98.78,98.78,89.34,89.34,546.39,477.87,393.42,311.1,301.0
Liberty Shoes Ltd.,108.05,108.10,6.32,-,10.00,0.00,17.1,47.68,102.78,1.05,3.0,602.35,543.99,497.39,454.17,525.69,4.02,3.87,3.84,5.99,10.01,17.04,17.04,17.04,17.04,17.04,6.84,6.6,6.54,10.21,17.06
Amin Tannery Ltd.,0.63,,-,-,1.00,0.00,-,47.68,1.04,0.61,0.0,37.21,41.74,0.0,0.0,0.01,0.05,0.0,0.0,10.8,10.8,0.05,0.0,0.14,0.56,0.0,0.0
Mayur Leather Products Ltd.,3.00,,-,-,10.00,0.00,-,47.68,16.28,0.18,3.0,12.62,18.06,23.7,32.14,28.08,-5.22,-6.01,-4.66,0.31,1.02,4.83,4.83,4.83,4.98,4.98,-2.52,-2.91,-2.25,0.15,0.49
Khadim India Ltd.,80.50,80.85,-,1.24,10.00,10.00,-,47.68,160.09,0.50,8.0,799.18,748.71,621.25,423.03,359.32,11.78,21.6,17.78,1.84,9.04,17.97,17.97,17.3,12.14,12.14,21.17,37.9,30.76,8.92,10.97
