stock_name,price_nse,price_bse,eps,dividend_yield,face_value,dividend,p_to_e,industry_p_to_e,book_value,p_to_b,avg_dividend,2019 Net,2018 Net,2017 Net,2016 Net,2015 Net,2019 EPS,2018 EPS,2017 EPS,2016 EPS,2015 EPS,2019 ESC,2018 ESC,2017 ESC,2016 ESC,2015 ESC,2019 Profit,2018 Profit,2017 Profit,2016 Profit,2015 Profit
Siemens Ltd.,1086.00,1085.20,31.5,0.64,2.00,350.00,34.45,43.09,253.95,4.28,645.0,13683.8,12725.1,11014.75,10808.82,10512.35,30.52,25.1,19.8,16.66,16.95,71.2,71.2,71.22,71.2,71.2,1086.9,893.9,1133.58,2888.04,1183.29
Berger Paints India Ltd.,485.25,483.45,6.09,0.39,1.00,190.00,79.38,73.14,24.43,19.86,167.0,5515.55,4723.79,4121.53,3857.81,3806.51,4.82,4.45,4.2,3.67,3.84,97.11,97.1,97.1,69.35,69.33,439.03,431.84,446.45,356.26,266.03
Interglobe Aviation Ltd.,1008.25,999.00,31.57,0.50,10.00,50.00,31.64,228.17,179.28,5.62,823.38,28496.77,23020.89,18580.5,16139.91,13925.34,4.06,60.03,45.94,58.17,42.2,384.41,384.41,361.47,360.36,30.7,156.14,2242.37,1659.19,1989.72,1295.59
JSW Steel Ltd.,142.95,143.00,28.03,2.87,1.00,410.00,5.1,3.54,145.22,0.98,228.0,76727.0,64975.0,52290.11,36706.92,46087.32,34.35,19.24,14.89,-14.75,88.24,240.0,241.0,240.3,239.87,302.75,8259.0,4625.0,3576.54,-3529.67,2166.48
Eicher Motors Ltd.,13001.30,13001.60,746.4,0.96,10.00,1250.00,17.42,11.52,2609.91,4.98,770.0,9794.48,8957.51,7037.97,4641.26,3031.22,753.37,629.07,573.75,342.25,206.38,27.28,27.26,27.21,27.15,27.1,2054.44,1712.91,1560.02,928.58,558.92
HDFC Asset Management Company Ltd.,2164.00,2185.75,60.56,1.11,5.00,480.00,36.09,23.33,143.86,15.04,634.0,1915.18,1759.75,1480.04,1442.55,1022.44,43.87,35.02,27.33,23.64,20.58,106.29,105.28,25.17,25.16,25.24,930.6,721.62,550.25,477.88,415.5
Abbott India Ltd.,15457.15,15613.60,280.08,0.42,10.00,650.00,55.75,28.81,945.25,16.35,452.0,3678.6,3298.5,2902.56,2628.42,2288.64,211.93,188.81,130.19,122.18,107.75,21.25,21.25,21.25,21.25,21.25,450.33,401.22,276.65,259.63,228.96
ICICI Prudential Life Insurance Company Ltd.,342.10,342.60,8.01,0.92,10.00,31.50,42.77,54.57,48.91,6.99,60.888,1718.85,1828.76,1796.24,1807.22,1674.18,7.95,11.28,11.72,11.52,11.47,1435.78,1435.5,1435.35,1432.32,1431.72,1140.65,1619.83,1682.23,1650.46,1640.22
Colgate Palmolive (India) Ltd.,1241.00,1242.50,29.78,1.85,1.00,2300.00,41.72,61.93,53.19,23.33,1820.0,4462.43,4187.97,3981.82,3868.19,3981.94,28.51,24.76,21.23,21.37,41.1,27.2,27.2,27.2,27.2,13.6,775.57,673.37,577.43,581.17,558.98
Mahindra and Mahindra Ltd.,272.65,272.85,37.66,3.12,5.00,170.00,7.25,13.39,275.38,0.99,212.0,53614.0,48685.55,43785.36,40875.07,38945.42,40.29,36.64,66.7,53.05,56.23,595.8,594.97,296.81,296.32,295.7,4796.04,4356.01,3955.65,3204.57,3321.11
DLF Ltd.,132.65,132.55,14.52,1.51,2.00,100.00,9.13,13.32,93.46,1.42,100.0,3295.39,3055.9,3702.95,3621.96,3016.69,3.85,2.05,3.34,8.39,5.28,441.44,356.81,356.8,356.74,356.39,687.6,365.2,596.55,1496.62,940.07
